asset_type,name,project,location,display_name,labels
storage.k8s.io/StorageClass,//container.googleapis.com/projects/live-on-473112/locations/europe-north2/clusters/gke-longevity-primary/k8s/storage.k8s.io/storageclasses/standard,projects/192823657524,europe-north2,standard,addonmanager.kubernetes.io/mode=EnsureExists
gateway.networking.k8s.io/GatewayClass,//container.googleapis.com/projects/live-on-473112/locations/europe-north2/clusters/gke-longevity-primary/k8s/apis/gateway.networking.k8s.io/gatewayclasses/gke-persistent-regional-internal-managed,projects/192823657524,europe-north2,gke-persistent-regional-internal-managed,addonmanager.kubernetes.io/mode=Reconcile
storage.k8s.io/StorageClass,//container.googleapis.com/projects/live-on-473112/locations/europe-north2/clusters/gke-longevity-primary/k8s/storage.k8s.io/storageclasses/standard-rwo,projects/192823657524,europe-north2,standard-rwo,addonmanager.kubernetes.io/mode=EnsureExists;k8s-app=gcp-compute-persistent-disk-csi-driver
gateway.networking.k8s.io/GatewayClass,//container.googleapis.com/projects/live-on-473112/locations/europe-north2/clusters/gke-longevity-primary/k8s/apis/gateway.networking.k8s.io/gatewayclasses/gke-persistent-regional-external-managed,projects/192823657524,europe-north2,gke-persistent-regional-external-managed,addonmanager.kubernetes.io/mode=Reconcile
apps.k8s.io/DaemonSet,//container.googleapis.com/projects/live-on-473112/locations/europe-north2/clusters/gke-longevity-primary/k8s/namespaces/kube-system/apps/daemonsets/pdcsi-node-windows,projects/192823657524,europe-north2,pdcsi-node-windows,addonmanager.kubernetes.io/mode=Reconcile;k8s-app=gcp-compute-persistent-disk-csi-driver
apps.k8s.io/DaemonSet,//container.googleapis.com/projects/live-on-473112/locations/europe-north2/clusters/gke-longevity-primary/k8s/namespaces/kube-system/apps/daemonsets/pdcsi-node,projects/192823657524,europe-north2,pdcsi-node,addonmanager.kubernetes.io/mode=Reconcile;k8s-app=gcp-compute-persistent-disk-csi-driver
storage.k8s.io/StorageClass,//container.googleapis.com/projects/live-on-473112/locations/europe-north2/clusters/gke-longevity-primary/k8s/storage.k8s.io/storageclasses/premium-rwo,projects/192823657524,europe-north2,premium-rwo,addonmanager.kubernetes.io/mode=EnsureExists;k8s-app=gcp-compute-persistent-disk-csi-driver
rbac.authorization.k8s.io/ClusterRoleBinding,//container.googleapis.com/projects/live-on-473112/locations/europe-north2/clusters/gke-longevity-primary/k8s/rbac.authorization.k8s.io/clusterrolebindings/pdcsi-driver-node-role-binding,projects/192823657524,europe-north2,pdcsi-driver-node-role-binding,addonmanager.kubernetes.io/mode=Reconcile;k8s-app=gcp-compute-persistent-disk-csi-driver
rbac.authorization.k8s.io/RoleBinding,//container.googleapis.com/projects/live-on-473112/locations/europe-north2/clusters/gke-longevity-primary/k8s/namespaces/kube-system/rbac.authorization.k8s.io/rolebindings/pdcsi-leaderelection-binding,projects/192823657524,europe-north2,pdcsi-leaderelection-binding,addonmanager.kubernetes.io/mode=Reconcile;k8s-app=gcp-compute-persistent-disk-csi-driver
rbac.authorization.k8s.io/RoleBinding,//container.googleapis.com/projects/live-on-473112/locations/europe-north2/clusters/gke-longevity-primary/k8s/namespaces/kube-system/rbac.authorization.k8s.io/rolebindings/gce:podsecuritypolicy:pdcsi-node-sa,projects/192823657524,europe-north2,gce:podsecuritypolicy:pdcsi-node-sa,addonmanager.kubernetes.io/mode=Reconcile;k8s-app=gcp-compute-persistent-disk-csi-driver
rbac.authorization.k8s.io/Role,//container.googleapis.com/projects/live-on-473112/locations/europe-north2/clusters/gke-longevity-primary/k8s/namespaces/kube-system/rbac.authorization.k8s.io/roles/pdcsi-leaderelection,projects/192823657524,europe-north2,pdcsi-leaderelection,addonmanager.kubernetes.io/mode=Reconcile;k8s-app=gcp-compute-persistent-disk-csi-driver
rbac.authorization.k8s.io/ClusterRole,//container.googleapis.com/projects/live-on-473112/locations/europe-north2/clusters/gke-longevity-primary/k8s/rbac.authorization.k8s.io/clusterroles/pdcsi-driver-role,projects/192823657524,europe-north2,pdcsi-driver-role,addonmanager.kubernetes.io/mode=Reconcile;k8s-app=gcp-compute-persistent-disk-csi-driver
rbac.authorization.k8s.io/ClusterRoleBinding,//container.googleapis.com/projects/live-on-473112/locations/europe-north2/clusters/gke-longevity-primary/k8s/rbac.authorization.k8s.io/clusterrolebindings/pdcsi-controller-resizer-binding,projects/192823657524,europe-north2,pdcsi-controller-resizer-binding,addonmanager.kubernetes.io/mode=Reconcile;k8s-app=gcp-compute-persistent-disk-csi-driver
rbac.authorization.k8s.io/ClusterRoleBinding,//container.googleapis.com/projects/live-on-473112/locations/europe-north2/clusters/gke-longevity-primary/k8s/rbac.authorization.k8s.io/clusterrolebindings/pdcsi-controller-provisioner-binding,projects/192823657524,europe-north2,pdcsi-controller-provisioner-binding,addonmanager.kubernetes.io/mode=Reconcile;k8s-app=gcp-compute-persistent-disk-csi-driver
rbac.authorization.k8s.io/ClusterRoleBinding,//container.googleapis.com/projects/live-on-473112/locations/europe-north2/clusters/gke-longevity-primary/k8s/rbac.authorization.k8s.io/clusterrolebindings/pdcsi-snapshotter-binding,projects/192823657524,europe-north2,pdcsi-snapshotter-binding,addonmanager.kubernetes.io/mode=Reconcile;k8s-app=gcp-compute-persistent-disk-csi-driver
rbac.authorization.k8s.io/ClusterRole,//container.googleapis.com/projects/live-on-473112/locations/europe-north2/clusters/gke-longevity-primary/k8s/rbac.authorization.k8s.io/clusterroles/pdcsi-snapshotter-role,projects/192823657524,europe-north2,pdcsi-snapshotter-role,addonmanager.kubernetes.io/mode=Reconcile;k8s-app=gcp-compute-persistent-disk-csi-driver
rbac.authorization.k8s.io/ClusterRoleBinding,//container.googleapis.com/projects/live-on-473112/locations/europe-north2/clusters/gke-longevity-primary/k8s/rbac.authorization.k8s.io/clusterrolebindings/pdcsi-controller-attacher-binding,projects/192823657524,europe-north2,pdcsi-controller-attacher-binding,addonmanager.kubernetes.io/mode=Reconcile;k8s-app=gcp-compute-persistent-disk-csi-driver
rbac.authorization.k8s.io/ClusterRole,//container.googleapis.com/projects/live-on-473112/locations/europe-north2/clusters/gke-longevity-primary/k8s/rbac.authorization.k8s.io/clusterroles/pdcsi-resizer-role,projects/192823657524,europe-north2,pdcsi-resizer-role,addonmanager.kubernetes.io/mode=Reconcile;k8s-app=gcp-compute-persistent-disk-csi-driver
rbac.authorization.k8s.io/ClusterRole,//container.googleapis.com/projects/live-on-473112/locations/europe-north2/clusters/gke-longevity-primary/k8s/rbac.authorization.k8s.io/clusterroles/pdcsi-provisioner-role,projects/192823657524,europe-north2,pdcsi-provisioner-role,addonmanager.kubernetes.io/mode=Reconcile;k8s-app=gcp-compute-persistent-disk-csi-driver
